	piezzo1	piezzo2	piezzo3	piezzo4	Sex_Home	Sex_Away	Weight_Home	Weight_Away	Height_Home	Height_Away	Clock	Left_hand_Home	Left_hand_Away	Age_Home	Age_Away	Year_Played_Home	Year_Played_Away	BMI_Home	BMI_Away	Total_Piezzo	BMI_CAT_Home	BMI_CAT_Away	AGE_CAT_Home	AGE_CAT_Away	Level_Home	Level_Away	Data_Type
0	0	0	2510	0	Female	Female	67	40	165	160	19	right_hand	left_hand	20	22	1	2	24.609733700642796	15.624999999999996	2510	Normal	Thin	Young	Young	Beginner	Beginner	train
1	0	0	0	651	Female	Female	67	40	165	160	19	right_hand	left_hand	20	22	1	2	24.609733700642796	15.624999999999996	651	Normal	Thin	Young	Young	Beginner	Beginner	train
2	137	409	0	1353	Female	Female	67	40	165	160	19	right_hand	left_hand	20	22	1	2	24.609733700642796	15.624999999999996	1899	Normal	Thin	Young	Young	Beginner	Beginner	train
3	7918	514	1124	0	Female	Female	67	40	165	160	19	right_hand	left_hand	20	22	1	2	24.609733700642796	15.624999999999996	9556	Normal	Thin	Young	Young	Beginner	Beginner	train
4	172	1441	2384	1286	Female	Female	67	40	165	160	19	right_hand	left_hand	20	22	1	2	24.609733700642796	15.624999999999996	5283	Normal	Thin	Young	Young	Beginner	Beginner	train
5	0	0	0	744	Female	Female	67	40	165	160	19	right_hand	left_hand	20	22	1	2	24.609733700642796	15.624999999999996	744	Normal	Thin	Young	Young	Beginner	Beginner	train
6	3062	136	1415	8351	Female	Female	67	40	165	160	19	right_hand	left_hand	20	22	1	2	24.609733700642796	15.624999999999996	12964	Normal	Thin	Young	Young	Beginner	Beginner	train
7	30	0	126	1768	Female	Female	67	40	165	160	19	right_hand	left_hand	20	22	1	2	24.609733700642796	15.624999999999996	1924	Normal	Thin	Young	Young	Beginner	Beginner	train
8	4203	0	127	451	Female	Female	67	40	165	160	19	right_hand	left_hand	20	22	1	2	24.609733700642796	15.624999999999996	4781	Normal	Thin	Young	Young	Beginner	Beginner	train
9	0	0	133	1023	Female	Female	67	40	165	160	19	right_hand	left_hand	20	22	1	2	24.609733700642796	15.624999999999996	1156	Normal	Thin	Young	Young	Beginner	Beginner	train
10	556	14	1526	2131	Female	Female	67	40	165	160	19	right_hand	left_hand	20	22	1	2	24.609733700642796	15.624999999999996	4227	Normal	Thin	Young	Young	Beginner	Beginner	train
11	777	1567	332	1258	Female	Female	67	40	165	160	19	right_hand	left_hand	20	22	1	2	24.609733700642796	15.624999999999996	3934	Normal	Thin	Young	Young	Beginner	Beginner	train
12	362	838	1685	13032	Female	Female	67	40	165	160	19	right_hand	left_hand	20	22	1	2	24.609733700642796	15.624999999999996	15917	Normal	Thin	Young	Young	Beginner	Beginner	train
13	9188	0	1590	13536	Female	Female	67	40	165	160	19	right_hand	left_hand	20	22	1	2	24.609733700642796	15.624999999999996	24314	Normal	Thin	Young	Young	Beginner	Beginner	train
14	213	0	695	337	Female	Female	67	40	165	160	19	right_hand	left_hand	20	22	1	2	24.609733700642796	15.624999999999996	1245	Normal	Thin	Young	Young	Beginner	Beginner	train
15	4090	0	230	1908	Female	Female	67	40	165	160	19	right_hand	left_hand	20	22	1	2	24.609733700642796	15.624999999999996	6228	Normal	Thin	Young	Young	Beginner	Beginner	train
16	1737	6590	6678	1158	Female	Female	67	40	165	160	19	right_hand	left_hand	20	22	1	2	24.609733700642796	15.624999999999996	16163	Normal	Thin	Young	Young	Beginner	Beginner	train
17	15	2048	555	1365	Female	Female	67	40	165	160	19	right_hand	left_hand	20	22	1	2	24.609733700642796	15.624999999999996	3983	Normal	Thin	Young	Young	Beginner	Beginner	train
18	1116	126	0	3792	Female	Female	67	40	165	160	19	right_hand	left_hand	20	22	1	2	24.609733700642796	15.624999999999996	5034	Normal	Thin	Young	Young	Beginner	Beginner	train
19	359	0	0	2278	Female	Female	67	40	165	160	19	right_hand	left_hand	20	22	1	2	24.609733700642796	15.624999999999996	2637	Normal	Thin	Young	Young	Beginner	Beginner	train
20	0	0	0	1038	Female	Female	67	40	165	160	19	right_hand	left_hand	20	22	1	2	24.609733700642796	15.624999999999996	1038	Normal	Thin	Young	Young	Beginner	Beginner	train
21	0	0	0	1360	Female	Female	67	40	165	160	19	right_hand	left_hand	20	22	1	2	24.609733700642796	15.624999999999996	1360	Normal	Thin	Young	Young	Beginner	Beginner	train
22	906	0	2165	4223	Female	Female	67	40	165	160	19	right_hand	left_hand	20	22	1	2	24.609733700642796	15.624999999999996	7294	Normal	Thin	Young	Young	Beginner	Beginner	train
23	5371	632	2549	14042	Female	Female	67	40	165	160	19	right_hand	left_hand	20	22	1	2	24.609733700642796	15.624999999999996	22594	Normal	Thin	Young	Young	Beginner	Beginner	train
24	3572	808	198	5231	Female	Female	67	40	165	160	19	right_hand	left_hand	20	22	1	2	24.609733700642796	15.624999999999996	9809	Normal	Thin	Young	Young	Beginner	Beginner	train
25	353	1458	2931	1264	Female	Female	67	40	165	160	19	right_hand	left_hand	20	22	1	2	24.609733700642796	15.624999999999996	6006	Normal	Thin	Young	Young	Beginner	Beginner	train
26	0	1803	2382	271	Female	Female	67	40	165	160	19	right_hand	left_hand	20	22	1	2	24.609733700642796	15.624999999999996	4456	Normal	Thin	Young	Young	Beginner	Beginner	train
27	1209	0	0	2493	Female	Female	67	40	165	160	19	right_hand	left_hand	20	22	1	2	24.609733700642796	15.624999999999996	3702	Normal	Thin	Young	Young	Beginner	Beginner	train
28	0	0	0	692	Female	Female	67	40	165	160	19	right_hand	left_hand	20	22	1	2	24.609733700642796	15.624999999999996	692	Normal	Thin	Young	Young	Beginner	Beginner	train
29	1743	6056	6427	0	Female	Female	67	40	165	160	19	right_hand	left_hand	20	22	1	2	24.609733700642796	15.624999999999996	14226	Normal	Thin	Young	Young	Beginner	Beginner	train
30	207	4525	764	0	Female	Female	67	40	165	160	19	right_hand	left_hand	20	22	1	2	24.609733700642796	15.624999999999996	5496	Normal	Thin	Young	Young	Beginner	Beginner	train
31	119	0	551	2248	Female	Female	67	40	165	160	19	right_hand	left_hand	20	22	1	2	24.609733700642796	15.624999999999996	2918	Normal	Thin	Young	Young	Beginner	Beginner	train
32	0	0	0	1834	Female	Female	67	40	165	160	19	right_hand	left_hand	20	22	1	2	24.609733700642796	15.624999999999996	1834	Normal	Thin	Young	Young	Beginner	Beginner	train
33	2227	0	0	4211	Female	Female	67	40	165	160	19	right_hand	left_hand	20	22	1	2	24.609733700642796	15.624999999999996	6438	Normal	Thin	Young	Young	Beginner	Beginner	train
34	805	1778	0	1998	Female	Female	67	40	165	160	19	right_hand	left_hand	20	22	1	2	24.609733700642796	15.624999999999996	4581	Normal	Thin	Young	Young	Beginner	Beginner	train
35	0	0	0	1953	Female	Female	67	40	165	160	19	right_hand	left_hand	20	22	1	2	24.609733700642796	15.624999999999996	1953	Normal	Thin	Young	Young	Beginner	Beginner	train
36	0	898	1845	1140	Female	Female	67	40	165	160	19	right_hand	left_hand	20	22	1	2	24.609733700642796	15.624999999999996	3883	Normal	Thin	Young	Young	Beginner	Beginner	train
37	0	0	310	1777	Female	Female	67	40	165	160	19	right_hand	left_hand	20	22	1	2	24.609733700642796	15.624999999999996	2087	Normal	Thin	Young	Young	Beginner	Beginner	train
38	1266	1527	3286	293	Female	Female	67	40	165	160	19	right_hand	left_hand	20	22	1	2	24.609733700642796	15.624999999999996	6372	Normal	Thin	Young	Young	Beginner	Beginner	train
39	281	0	0	1191	Female	Female	67	40	165	160	19	right_hand	left_hand	20	22	1	2	24.609733700642796	15.624999999999996	1472	Normal	Thin	Young	Young	Beginner	Beginner	train
40	0	0	0	1161	Female	Female	67	40	165	160	19	right_hand	left_hand	20	22	1	2	24.609733700642796	15.624999999999996	1161	Normal	Thin	Young	Young	Beginner	Beginner	train
41	404	0	585	1831	Male	Female	85	53	190	160	22	right_hand	right_hand	21	21	7	0	23.545706371191137	20.703124999999996	2820	Normal	Normal	Young	Young	Professional	Beginner	train
42	0	0	1957	1307	Male	Female	85	53	190	160	22	right_hand	right_hand	21	21	7	0	23.545706371191137	20.703124999999996	3264	Normal	Normal	Young	Young	Professional	Beginner	train
43	0	0	420	82	Male	Female	85	53	190	160	22	right_hand	right_hand	21	21	7	0	23.545706371191137	20.703124999999996	502	Normal	Normal	Young	Young	Professional	Beginner	train
44	0	0	32	576	Male	Female	85	53	190	160	22	right_hand	right_hand	21	21	7	0	23.545706371191137	20.703124999999996	608	Normal	Normal	Young	Young	Professional	Beginner	train
45	0	0	145	731	Male	Female	85	53	190	160	22	right_hand	right_hand	21	21	7	0	23.545706371191137	20.703124999999996	876	Normal	Normal	Young	Young	Professional	Beginner	train
46	0	0	524	603	Male	Female	85	53	190	160	22	right_hand	right_hand	21	21	7	0	23.545706371191137	20.703124999999996	1127	Normal	Normal	Young	Young	Professional	Beginner	train
47	974	0	919	15456	Male	Female	85	53	190	160	22	right_hand	right_hand	21	21	7	0	23.545706371191137	20.703124999999996	17349	Normal	Normal	Young	Young	Professional	Beginner	train
48	0	0	273	1199	Male	Female	85	53	190	160	22	right_hand	right_hand	21	21	7	0	23.545706371191137	20.703124999999996	1472	Normal	Normal	Young	Young	Professional	Beginner	train
49	2028	0	588	3521	Male	Female	85	53	190	160	22	right_hand	right_hand	21	21	7	0	23.545706371191137	20.703124999999996	6137	Normal	Normal	Young	Young	Professional	Beginner	train
50	533	0	327	168	Male	Female	85	53	190	160	22	right_hand	right_hand	21	21	7	0	23.545706371191137	20.703124999999996	1028	Normal	Normal	Young	Young	Professional	Beginner	train
51	505	0	250	0	Male	Female	85	53	190	160	22	right_hand	right_hand	21	21	7	0	23.545706371191137	20.703124999999996	755	Normal	Normal	Young	Young	Professional	Beginner	train
52	0	0	684	160	Male	Female	85	53	190	160	22	right_hand	right_hand	21	21	7	0	23.545706371191137	20.703124999999996	844	Normal	Normal	Young	Young	Professional	Beginner	train
53	0	0	439	4803	Male	Female	85	53	190	160	22	right_hand	right_hand	21	21	7	0	23.545706371191137	20.703124999999996	5242	Normal	Normal	Young	Young	Professional	Beginner	train
54	237	0	570	3443	Male	Female	85	53	190	160	22	right_hand	right_hand	21	21	7	0	23.545706371191137	20.703124999999996	4250	Normal	Normal	Young	Young	Professional	Beginner	train
55	0	0	279	1818	Male	Female	85	53	190	160	22	right_hand	right_hand	21	21	7	0	23.545706371191137	20.703124999999996	2097	Normal	Normal	Young	Young	Professional	Beginner	train
56	186	0	1292	3636	Male	Female	85	53	190	160	22	right_hand	right_hand	21	21	7	0	23.545706371191137	20.703124999999996	5114	Normal	Normal	Young	Young	Professional	Beginner	train
57	0	0	468	0	Male	Female	85	53	190	160	22	right_hand	right_hand	21	21	7	0	23.545706371191137	20.703124999999996	468	Normal	Normal	Young	Young	Professional	Beginner	train
58	95	0	421	872	Male	Female	85	53	190	160	22	right_hand	right_hand	21	21	7	0	23.545706371191137	20.703124999999996	1388	Normal	Normal	Young	Young	Professional	Beginner	train
59	147	0	258	3850	Male	Female	85	53	190	160	22	right_hand	right_hand	21	21	7	0	23.545706371191137	20.703124999999996	4255	Normal	Normal	Young	Young	Professional	Beginner	train
60	143	743	335	4089	Male	Female	85	53	190	160	22	right_hand	right_hand	21	21	7	0	23.545706371191137	20.703124999999996	5310	Normal	Normal	Young	Young	Professional	Beginner	train
61	140	0	77	446	Male	Female	85	53	190	160	22	right_hand	right_hand	21	21	7	0	23.545706371191137	20.703124999999996	663	Normal	Normal	Young	Young	Professional	Beginner	train
62	19	0	89	1093	Male	Female	85	53	190	160	22	right_hand	right_hand	21	21	7	0	23.545706371191137	20.703124999999996	1201	Normal	Normal	Young	Young	Professional	Beginner	train
63	1960	0	681	0	Male	Female	85	53	190	160	22	right_hand	right_hand	21	21	7	0	23.545706371191137	20.703124999999996	2641	Normal	Normal	Young	Young	Professional	Beginner	train
64	84	0	49	636	Male	Female	85	53	190	160	22	right_hand	right_hand	21	21	7	0	23.545706371191137	20.703124999999996	769	Normal	Normal	Young	Young	Professional	Beginner	train
65	1432	0	1079	12489	Male	Female	85	53	190	160	22	right_hand	right_hand	21	21	7	0	23.545706371191137	20.703124999999996	15000	Normal	Normal	Young	Young	Professional	Beginner	train
